aUsers,aSet,aType,a1_Assign,a1_Opt12,a2_Compare,a2_EU,a2_CompareAnswers,a3_Estimate,a3_Answers1,a3_Answers2,a3_Answers3,a3_Answers4,a3_Answers5,a3_Answers6
237,40,HeatMapDiscrete,64/21/79/68/78/75,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,7/71/8/84/75/35,U/U/U/U/E/U,max/max/min/max/max/min,55/21/19/79/33/83,14/72/81/27/50/55,4/72/3/27/21/40,15/4/19/3/34/24,79/22/43/27/72/10,82/14/72/33/34/19,4/83/14/27/54/40
238,40,HeatMapContinuous,64/21/79/68/78/75,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,7/71/8/84/75/35,U/U/U/U/E/U,max/max/min/max/max/min,55/21/19/79/33/83,14/72/81/27/50/55,4/72/3/27/21/40,15/4/19/3/34/24,79/22/43/27/72/10,82/14/72/33/34/19,4/83/14/27/54/40
239,40,IPPDiscrete,64/21/79/68/78/75,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,7/71/8/84/75/35,U/U/U/U/E/U,max/max/min/max/max/min,55/21/19/79/33/83,14/72/81/27/50/55,4/72/3/27/21/40,15/4/19/3/34/24,79/22/43/27/72/10,82/14/72/33/34/19,4/83/14/27/54/40
240,40,IPPContinuous,64/21/79/68/78/75,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,7/71/8/84/75/35,U/U/U/U/E/U,max/max/min/max/max/min,55/21/19/79/33/83,14/72/81/27/50/55,4/72/3/27/21/40,15/4/19/3/34/24,79/22/43/27/72/10,82/14/72/33/34/19,4/83/14/27/54/40
241,41,ScatterPlot,62/35/36/58/26/85,Opt2/Opt1/Opt1/Opt2/Opt1/Opt1,47/84/72/34/69/76,E/E/E/U/U/U,max/max/min/min/min/min,55/50/62/21/56/64,14/72/81/27/50/55,69/78/50/40/54/48,6/62/85/22/27/14,4/72/3/27/21/40,69/3/6/56/54/27,64/78/11/81/17/40
242,41,ScatterPlotColored,62/35/36/58/26/85,Opt2/Opt1/Opt1/Opt2/Opt1/Opt1,47/84/72/34/69/76,E/E/E/U/U/U,max/max/min/min/min/min,55/50/62/21/56/64,14/72/81/27/50/55,69/78/50/40/54/48,6/62/85/22/27/14,4/72/3/27/21/40,69/3/6/56/54/27,64/78/11/81/17/40
243,41,HeatMapDiscrete,62/35/36/58/26/85,Opt2/Opt1/Opt1/Opt2/Opt1/Opt1,47/84/72/34/69/76,E/E/E/U/U/U,max/max/min/min/min/min,55/50/62/21/56/64,14/72/81/27/50/55,69/78/50/40/54/48,6/62/85/22/27/14,4/72/3/27/21/40,69/3/6/56/54/27,64/78/11/81/17/40
244,41,HeatMapContinuous,62/35/36/58/26/85,Opt2/Opt1/Opt1/Opt2/Opt1/Opt1,47/84/72/34/69/76,E/E/E/U/U/U,max/max/min/min/min/min,55/50/62/21/56/64,14/72/81/27/50/55,69/78/50/40/54/48,6/62/85/22/27/14,4/72/3/27/21/40,69/3/6/56/54/27,64/78/11/81/17/40
245,41,IPPDiscrete,62/35/36/58/26/85,Opt2/Opt1/Opt1/Opt2/Opt1/Opt1,47/84/72/34/69/76,E/E/E/U/U/U,max/max/min/min/min/min,55/50/62/21/56/64,14/72/81/27/50/55,69/78/50/40/54/48,6/62/85/22/27/14,4/72/3/27/21/40,69/3/6/56/54/27,64/78/11/81/17/40
246,41,IPPContinuous,62/35/36/58/26/85,Opt2/Opt1/Opt1/Opt2/Opt1/Opt1,47/84/72/34/69/76,E/E/E/U/U/U,max/max/min/min/min/min,55/50/62/21/56/64,14/72/81/27/50/55,69/78/50/40/54/48,6/62/85/22/27/14,4/72/3/27/21/40,69/3/6/56/54/27,64/78/11/81/17/40
247,42,ScatterPlot,21/28/57/4/5/6,Opt2/Opt2/Opt1/Opt1/Opt1/Opt1,76/1/2/73/10/13,U/U/E/U/U/E,min/max/min/max/max/min,8/26/37/81/85/11,27/69/19/70/63/8,4/26/34/27/82/54,40/70/44/37/22/50,41/85/30/34/81/7,85/81/27/70/3/40,20/78/11/45/77/15
248,42,ScatterPlotColored,21/28/57/4/5/6,Opt2/Opt2/Opt1/Opt1/Opt1/Opt1,76/1/2/73/10/13,U/U/E/U/U/E,min/max/min/max/max/min,8/26/37/81/85/11,27/69/19/70/63/8,4/26/34/27/82/54,40/70/44/37/22/50,41/85/30/34/81/7,85/81/27/70/3/40,20/78/11/45/77/15
249,42,HeatMapDiscrete,21/28/57/4/5/6,Opt2/Opt2/Opt1/Opt1/Opt1/Opt1,76/1/2/73/10/13,U/U/E/U/U/E,min/max/min/max/max/min,8/26/37/81/85/11,27/69/19/70/63/8,4/26/34/27/82/54,40/70/44/37/22/50,41/85/30/34/81/7,85/81/27/70/3/40,20/78/11/45/77/15
250,42,HeatMapContinuous,21/28/57/4/5/6,Opt2/Opt2/Opt1/Opt1/Opt1/Opt1,76/1/2/73/10/13,U/U/E/U/U/E,min/max/min/max/max/min,8/26/37/81/85/11,27/69/19/70/63/8,4/26/34/27/82/54,40/70/44/37/22/50,41/85/30/34/81/7,85/81/27/70/3/40,20/78/11/45/77/15
251,42,IPPDiscrete,21/28/57/4/5/6,Opt2/Opt2/Opt1/Opt1/Opt1/Opt1,76/1/2/73/10/13,U/U/E/U/U/E,min/max/min/max/max/min,8/26/37/81/85/11,27/69/19/70/63/8,4/26/34/27/82/54,40/70/44/37/22/50,41/85/30/34/81/7,85/81/27/70/3/40,20/78/11/45/77/15
252,42,IPPContinuous,21/28/57/4/5/6,Opt2/Opt2/Opt1/Opt1/Opt1/Opt1,76/1/2/73/10/13,U/U/E/U/U/E,min/max/min/max/max/min,8/26/37/81/85/11,27/69/19/70/63/8,4/26/34/27/82/54,40/70/44/37/22/50,41/85/30/34/81/7,85/81/27/70/3/40,20/78/11/45/77/15
253,43,ScatterPlot,46/68/84/37/53/17,Opt2/Opt1/Opt2/Opt2/Opt2/Opt2,46/80/5/22/29/69,E/U/E/U/E/U,max/max/min/max/max/min,10/13/2/73/1/76,70/14/10/24/3/64,29/66/59/46/13/54,4/2/15/34/3/24,73/7/12/63/70/48,34/69/14/1/27/54,70/25/34/82/11/76
254,43,ScatterPlotColored,46/68/84/37/53/17,Opt2/Opt1/Opt2/Opt2/Opt2/Opt2,46/80/5/22/29/69,E/U/E/U/E/U,max/max/min/max/max/min,10/13/2/73/1/76,70/14/10/24/3/64,29/66/59/46/13/54,4/2/15/34/3/24,73/7/12/63/70/48,34/69/14/1/27/54,70/25/34/82/11/76
255,43,HeatMapDiscrete,46/68/84/37/53/17,Opt2/Opt1/Opt2/Opt2/Opt2/Opt2,46/80/5/22/29/69,E/U/E/U/E/U,max/max/min/max/max/min,10/13/2/73/1/76,70/14/10/24/3/64,29/66/59/46/13/54,4/2/15/34/3/24,73/7/12/63/70/48,34/69/14/1/27/54,70/25/34/82/11/76
256,43,HeatMapContinuous,46/68/84/37/53/17,Opt2/Opt1/Opt2/Opt2/Opt2/Opt2,46/80/5/22/29/69,E/U/E/U/E/U,max/max/min/max/max/min,10/13/2/73/1/76,70/14/10/24/3/64,29/66/59/46/13/54,4/2/15/34/3/24,73/7/12/63/70/48,34/69/14/1/27/54,70/25/34/82/11/76
257,43,IPPDiscrete,46/68/84/37/53/17,Opt2/Opt1/Opt2/Opt2/Opt2/Opt2,46/80/5/22/29/69,E/U/E/U/E/U,max/max/min/max/max/min,10/13/2/73/1/76,70/14/10/24/3/64,29/66/59/46/13/54,4/2/15/34/3/24,73/7/12/63/70/48,34/69/14/1/27/54,70/25/34/82/11/76
258,43,IPPContinuous,46/68/84/37/53/17,Opt2/Opt1/Opt2/Opt2/Opt2/Opt2,46/80/5/22/29/69,E/U/E/U/E/U,max/max/min/max/max/min,10/13/2/73/1/76,70/14/10/24/3/64,29/66/59/46/13/54,4/2/15/34/3/24,73/7/12/63/70/48,34/69/14/1/27/54,70/25/34/82/11/76
259,44,ScatterPlot,28/35/77/66/37/25,Opt1/Opt2/Opt1/Opt2/Opt1/Opt1,3/57/22/83/10/44,E/E/E/U/E/E,min/min/min/min/max/max,61/60/53/39/52/2,76/54/61/50/6/44,43/73/81/60/80/7,53/39/63/82/76/80,13/27/60/45/79/39,22/52/48/74/44/14,4/15/34/3/2/24
260,44,ScatterPlotColored,28/35/77/66/37/25,Opt1/Opt2/Opt1/Opt2/Opt1/Opt1,3/57/22/83/10/44,E/E/E/U/E/E,min/min/min/min/max/max,61/60/53/39/52/2,76/54/61/50/6/44,43/73/81/60/80/7,53/39/63/82/76/80,13/27/60/45/79/39,22/52/48/74/44/14,4/15/34/3/2/24
261,44,HeatMapDiscrete,28/35/77/66/37/25,Opt1/Opt2/Opt1/Opt2/Opt1/Opt1,3/57/22/83/10/44,E/E/E/U/E/E,min/min/min/min/max/max,61/60/53/39/52/2,76/54/61/50/6/44,43/73/81/60/80/7,53/39/63/82/76/80,13/27/60/45/79/39,22/52/48/74/44/14,4/15/34/3/2/24
262,44,HeatMapContinuous,28/35/77/66/37/25,Opt1/Opt2/Opt1/Opt2/Opt1/Opt1,3/57/22/83/10/44,E/E/E/U/E/E,min/min/min/min/max/max,61/60/53/39/52/2,76/54/61/50/6/44,43/73/81/60/80/7,53/39/63/82/76/80,13/27/60/45/79/39,22/52/48/74/44/14,4/15/34/3/2/24
263,44,IPPDiscrete,28/35/77/66/37/25,Opt1/Opt2/Opt1/Opt2/Opt1/Opt1,3/57/22/83/10/44,E/E/E/U/E/E,min/min/min/min/max/max,61/60/53/39/52/2,76/54/61/50/6/44,43/73/81/60/80/7,53/39/63/82/76/80,13/27/60/45/79/39,22/52/48/74/44/14,4/15/34/3/2/24
264,44,IPPContinuous,28/35/77/66/37/25,Opt1/Opt2/Opt1/Opt2/Opt1/Opt1,3/57/22/83/10/44,E/E/E/U/E/E,min/min/min/min/max/max,61/60/53/39/52/2,76/54/61/50/6/44,43/73/81/60/80/7,53/39/63/82/76/80,13/27/60/45/79/39,22/52/48/74/44/14,4/15/34/3/2/24
265,45,ScatterPlot,80/78/73/48/14/43,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,70/81/82/52/15/47,U/U/U/E/U/U,max/min/min/min/max/min,35/66/28/25/77/37,27/72/4/3/35/40,82/66/15/3/70/54,27/4/72/28/3/40,1/85/69/54/25/40,6/27/77/40/14/54,37/40/70/44/22/14
266,45,ScatterPlotColored,80/78/73/48/14/43,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,70/81/82/52/15/47,U/U/U/E/U/U,max/min/min/min/max/min,35/66/28/25/77/37,27/72/4/3/35/40,82/66/15/3/70/54,27/4/72/28/3/40,1/85/69/54/25/40,6/27/77/40/14/54,37/40/70/44/22/14
267,45,HeatMapDiscrete,80/78/73/48/14/43,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,70/81/82/52/15/47,U/U/U/E/U/U,max/min/min/min/max/min,35/66/28/25/77/37,27/72/4/3/35/40,82/66/15/3/70/54,27/4/72/28/3/40,1/85/69/54/25/40,6/27/77/40/14/54,37/40/70/44/22/14
268,45,HeatMapContinuous,80/78/73/48/14/43,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,70/81/82/52/15/47,U/U/U/E/U/U,max/min/min/min/max/min,35/66/28/25/77/37,27/72/4/3/35/40,82/66/15/3/70/54,27/4/72/28/3/40,1/85/69/54/25/40,6/27/77/40/14/54,37/40/70/44/22/14
269,45,IPPDiscrete,80/78/73/48/14/43,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,70/81/82/52/15/47,U/U/U/E/U/U,max/min/min/min/max/min,35/66/28/25/77/37,27/72/4/3/35/40,82/66/15/3/70/54,27/4/72/28/3/40,1/85/69/54/25/40,6/27/77/40/14/54,37/40/70/44/22/14
270,45,IPPContinuous,80/78/73/48/14/43,Opt2/Opt1/Opt2/Opt1/Opt1/Opt1,70/81/82/52/15/47,U/U/U/E/U/U,max/min/min/min/max/min,35/66/28/25/77/37,27/72/4/3/35/40,82/66/15/3/70/54,27/4/72/28/3/40,1/85/69/54/25/40,6/27/77/40/14/54,37/40/70/44/22/14
271,46,ScatterPlot,71/42/74/44/21/63,Opt2/Opt1/Opt1/Opt1/Opt1/Opt2,3/11/74/8/46/15,U/E/E/E/U/U,max/max/max/max/min/max,11/57/34/46/20/67,20/78/11/45/77/15,66/82/72/6/57/55,34/45/3/85/30/26,66/76/43/46/54/25,20/11/44/52/19/82,72/78/66/13/58/67
272,46,ScatterPlotColored,71/42/74/44/21/63,Opt2/Opt1/Opt1/Opt1/Opt1/Opt2,3/11/74/8/46/15,U/E/E/E/U/U,max/max/max/max/min/max,11/57/34/46/20/67,20/78/11/45/77/15,66/82/72/6/57/55,34/45/3/85/30/26,66/76/43/46/54/25,20/11/44/52/19/82,72/78/66/13/58/67
273,46,HeatMapDiscrete,71/42/74/44/21/63,Opt2/Opt1/Opt1/Opt1/Opt1/Opt2,3/11/74/8/46/15,U/E/E/E/U/U,max/max/max/max/min/max,11/57/34/46/20/67,20/78/11/45/77/15,66/82/72/6/57/55,34/45/3/85/30/26,66/76/43/46/54/25,20/11/44/52/19/82,72/78/66/13/58/67
274,46,HeatMapContinuous,71/42/74/44/21/63,Opt2/Opt1/Opt1/Opt1/Opt1/Opt2,3/11/74/8/46/15,U/E/E/E/U/U,max/max/max/max/min/max,11/57/34/46/20/67,20/78/11/45/77/15,66/82/72/6/57/55,34/45/3/85/30/26,66/76/43/46/54/25,20/11/44/52/19/82,72/78/66/13/58/67
275,46,IPPDiscrete,71/42/74/44/21/63,Opt2/Opt1/Opt1/Opt1/Opt1/Opt2,3/11/74/8/46/15,U/E/E/E/U/U,max/max/max/max/min/max,11/57/34/46/20/67,20/78/11/45/77/15,66/82/72/6/57/55,34/45/3/85/30/26,66/76/43/46/54/25,20/11/44/52/19/82,72/78/66/13/58/67
276,46,IPPContinuous,71/42/74/44/21/63,Opt2/Opt1/Opt1/Opt1/Opt1/Opt2,3/11/74/8/46/15,U/E/E/E/U/U,max/max/max/max/min/max,11/57/34/46/20/67,20/78/11/45/77/15,66/82/72/6/57/55,34/45/3/85/30/26,66/76/43/46/54/25,20/11/44/52/19/82,72/78/66/13/58/67
277,47,ScatterPlot,85/11/37/81/8/26,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,20/48/19/38/80/23,U/U/E/E/E/U,max/max/max/min/min/max,30/36/26/59/80/28,3/30/72/6/78/19,40/3/4/54/36/27,3/34/26/27/82/54,59/48/17/40/13/63,4/71/27/34/49/80,27/4/72/3/28/40
278,47,ScatterPlotColored,85/11/37/81/8/26,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,20/48/19/38/80/23,U/U/E/E/E/U,max/max/max/min/min/max,30/36/26/59/80/28,3/30/72/6/78/19,40/3/4/54/36/27,3/34/26/27/82/54,59/48/17/40/13/63,4/71/27/34/49/80,27/4/72/3/28/40
279,47,HeatMapDiscrete,85/11/37/81/8/26,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,20/48/19/38/80/23,U/U/E/E/E/U,max/max/max/min/min/max,30/36/26/59/80/28,3/30/72/6/78/19,40/3/4/54/36/27,3/34/26/27/82/54,59/48/17/40/13/63,4/71/27/34/49/80,27/4/72/3/28/40
280,47,HeatMapContinuous,85/11/37/81/8/26,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,20/48/19/38/80/23,U/U/E/E/E/U,max/max/max/min/min/max,30/36/26/59/80/28,3/30/72/6/78/19,40/3/4/54/36/27,3/34/26/27/82/54,59/48/17/40/13/63,4/71/27/34/49/80,27/4/72/3/28/40
281,47,IPPDiscrete,85/11/37/81/8/26,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,20/48/19/38/80/23,U/U/E/E/E/U,max/max/max/min/min/max,30/36/26/59/80/28,3/30/72/6/78/19,40/3/4/54/36/27,3/34/26/27/82/54,59/48/17/40/13/63,4/71/27/34/49/80,27/4/72/3/28/40
282,47,IPPContinuous,85/11/37/81/8/26,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,20/48/19/38/80/23,U/U/E/E/E/U,max/max/max/min/min/max,30/36/26/59/80/28,3/30/72/6/78/19,40/3/4/54/36/27,3/34/26/27/82/54,59/48/17/40/13/63,4/71/27/34/49/80,27/4/72/3/28/40
283,48,ScatterPlot,14/43/15/45/31/4,Opt2/Opt2/Opt2/Opt2/Opt1/Opt2,46/20/57/67/34/11,E/U/E/U/E/E,max/max/min/min/min/max,17/31/24/82/14/12,26/4/45/14/2/17,84/14/27/60/31/40,22/24/54/60/7/4,45/27/72/82/17/81,14/40/19/85/70/6,73/44/27/7/12/54
284,48,ScatterPlotColored,14/43/15/45/31/4,Opt2/Opt2/Opt2/Opt2/Opt1/Opt2,46/20/57/67/34/11,E/U/E/U/E/E,max/max/min/min/min/max,17/31/24/82/14/12,26/4/45/14/2/17,84/14/27/60/31/40,22/24/54/60/7/4,45/27/72/82/17/81,14/40/19/85/70/6,73/44/27/7/12/54
285,48,HeatMapDiscrete,14/43/15/45/31/4,Opt2/Opt2/Opt2/Opt2/Opt1/Opt2,46/20/57/67/34/11,E/U/E/U/E/E,max/max/min/min/min/max,17/31/24/82/14/12,26/4/45/14/2/17,84/14/27/60/31/40,22/24/54/60/7/4,45/27/72/82/17/81,14/40/19/85/70/6,73/44/27/7/12/54
286,48,HeatMapContinuous,14/43/15/45/31/4,Opt2/Opt2/Opt2/Opt2/Opt1/Opt2,46/20/57/67/34/11,E/U/E/U/E/E,max/max/min/min/min/max,17/31/24/82/14/12,26/4/45/14/2/17,84/14/27/60/31/40,22/24/54/60/7/4,45/27/72/82/17/81,14/40/19/85/70/6,73/44/27/7/12/54
287,48,IPPDiscrete,14/43/15/45/31/4,Opt2/Opt2/Opt2/Opt2/Opt1/Opt2,46/20/57/67/34/11,E/U/E/U/E/E,max/max/min/min/min/max,17/31/24/82/14/12,26/4/45/14/2/17,84/14/27/60/31/40,22/24/54/60/7/4,45/27/72/82/17/81,14/40/19/85/70/6,73/44/27/7/12/54
288,48,IPPContinuous,14/43/15/45/31/4,Opt2/Opt2/Opt2/Opt2/Opt1/Opt2,46/20/57/67/34/11,E/U/E/U/E/E,max/max/min/min/min/max,17/31/24/82/14/12,26/4/45/14/2/17,84/14/27/60/31/40,22/24/54/60/7/4,45/27/72/82/17/81,14/40/19/85/70/6,73/44/27/7/12/54
289,49,ScatterPlot,47/53/41/77/60/73,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,25/68/57/11/30/67,E/U/U/U/E/E,min/min/min/min/max/min,35/79/60/50/6/61,82/40/14/50/45/35,42/61/84/40/79/46,43/60/73/81/80/7,50/41/70/85/54/76,71/7/40/6/62/79,63/4/61/27/54/11
290,49,ScatterPlotColored,47/53/41/77/60/73,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,25/68/57/11/30/67,E/U/U/U/E/E,min/min/min/min/max/min,35/79/60/50/6/61,82/40/14/50/45/35,42/61/84/40/79/46,43/60/73/81/80/7,50/41/70/85/54/76,71/7/40/6/62/79,63/4/61/27/54/11
291,49,HeatMapDiscrete,47/53/41/77/60/73,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,25/68/57/11/30/67,E/U/U/U/E/E,min/min/min/min/max/min,35/79/60/50/6/61,82/40/14/50/45/35,42/61/84/40/79/46,43/60/73/81/80/7,50/41/70/85/54/76,71/7/40/6/62/79,63/4/61/27/54/11
292,49,HeatMapContinuous,47/53/41/77/60/73,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,25/68/57/11/30/67,E/U/U/U/E/E,min/min/min/min/max/min,35/79/60/50/6/61,82/40/14/50/45/35,42/61/84/40/79/46,43/60/73/81/80/7,50/41/70/85/54/76,71/7/40/6/62/79,63/4/61/27/54/11
293,49,IPPDiscrete,47/53/41/77/60/73,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,25/68/57/11/30/67,E/U/U/U/E/E,min/min/min/min/max/min,35/79/60/50/6/61,82/40/14/50/45/35,42/61/84/40/79/46,43/60/73/81/80/7,50/41/70/85/54/76,71/7/40/6/62/79,63/4/61/27/54/11
294,49,IPPContinuous,47/53/41/77/60/73,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,25/68/57/11/30/67,E/U/U/U/E/E,min/min/min/min/max/min,35/79/60/50/6/61,82/40/14/50/45/35,42/61/84/40/79/46,43/60/73/81/80/7,50/41/70/85/54/76,71/7/40/6/62/79,63/4/61/27/54/11
295,50,ScatterPlot,20/57/46/11/67/34,Opt1/Opt2/Opt1/Opt2/Opt1/Opt2,80/78/14/43/73/48,E/E/E/U/U/E,min/min/max/max/max/min,31/43/4/14/15/45,34/27/76/31/3/54,25/37/6/19/43/4,4/64/51/11/45/26,40/14/41/39/4/85,4/9/11/15/26/46,17/6/14/24/54/45
296,50,ScatterPlotColored,20/57/46/11/67/34,Opt1/Opt2/Opt1/Opt2/Opt1/Opt2,80/78/14/43/73/48,E/E/E/U/U/E,min/min/max/max/max/min,31/43/4/14/15/45,34/27/76/31/3/54,25/37/6/19/43/4,4/64/51/11/45/26,40/14/41/39/4/85,4/9/11/15/26/46,17/6/14/24/54/45
297,50,HeatMapDiscrete,20/57/46/11/67/34,Opt1/Opt2/Opt1/Opt2/Opt1/Opt2,80/78/14/43/73/48,E/E/E/U/U/E,min/min/max/max/max/min,31/43/4/14/15/45,34/27/76/31/3/54,25/37/6/19/43/4,4/64/51/11/45/26,40/14/41/39/4/85,4/9/11/15/26/46,17/6/14/24/54/45
298,50,HeatMapContinuous,20/57/46/11/67/34,Opt1/Opt2/Opt1/Opt2/Opt1/Opt2,80/78/14/43/73/48,E/E/E/U/U/E,min/min/max/max/max/min,31/43/4/14/15/45,34/27/76/31/3/54,25/37/6/19/43/4,4/64/51/11/45/26,40/14/41/39/4/85,4/9/11/15/26/46,17/6/14/24/54/45
299,50,IPPDiscrete,20/57/46/11/67/34,Opt1/Opt2/Opt1/Opt2/Opt1/Opt2,80/78/14/43/73/48,E/E/E/U/U/E,min/min/max/max/max/min,31/43/4/14/15/45,34/27/76/31/3/54,25/37/6/19/43/4,4/64/51/11/45/26,40/14/41/39/4/85,4/9/11/15/26/46,17/6/14/24/54/45
300,50,IPPContinuous,20/57/46/11/67/34,Opt1/Opt2/Opt1/Opt2/Opt1/Opt2,80/78/14/43/73/48,E/E/E/U/U/E,min/min/max/max/max/min,31/43/4/14/15/45,34/27/76/31/3/54,25/37/6/19/43/4,4/64/51/11/45/26,40/14/41/39/4/85,4/9/11/15/26/46,17/6/14/24/54/45
301,51,ScatterPlot,65/3/59/74/58/15,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,84/72/69/36/76/47,E/E/E/E/U/U,max/min/max/max/min/min,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
302,51,ScatterPlotColored,65/3/59/74/58/15,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,84/72/69/36/76/47,E/E/E/E/U/U,max/min/max/max/min/min,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
303,51,HeatMapDiscrete,65/3/59/74/58/15,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,84/72/69/36/76/47,E/E/E/E/U/U,max/min/max/max/min/min,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
304,51,HeatMapContinuous,65/3/59/74/58/15,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,84/72/69/36/76/47,E/E/E/E/U/U,max/min/max/max/min/min,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
305,51,IPPDiscrete,65/3/59/74/58/15,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,84/72/69/36/76/47,E/E/E/E/U/U,max/min/max/max/min/min,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
306,51,IPPContinuous,65/3/59/74/58/15,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,84/72/69/36/76/47,E/E/E/E/U/U,max/min/max/max/min/min,49/32/33/29/1/71,46/49/40/18/6/3,70/63/32/27/55/3,3/4/72/34/27/33,27/4/40/29/3/72,3/1/14/69/27/54,71/78/4/27/75/63
307,52,ScatterPlot,75/71/35/7/84/8,Opt2/Opt1/Opt1/Opt2/Opt1/Opt2,42/70/69/55/51/83,E/E/U/E/E/E,max/min/min/max/max/min,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
308,52,ScatterPlotColored,75/71/35/7/84/8,Opt2/Opt1/Opt1/Opt2/Opt1/Opt2,42/70/69/55/51/83,E/E/U/E/E/E,max/min/min/max/max/min,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
309,52,HeatMapDiscrete,75/71/35/7/84/8,Opt2/Opt1/Opt1/Opt2/Opt1/Opt2,42/70/69/55/51/83,E/E/U/E/E/E,max/min/min/max/max/min,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
310,52,HeatMapContinuous,75/71/35/7/84/8,Opt2/Opt1/Opt1/Opt2/Opt1/Opt2,42/70/69/55/51/83,E/E/U/E/E/E,max/min/min/max/max/min,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
311,52,IPPDiscrete,75/71/35/7/84/8,Opt2/Opt1/Opt1/Opt2/Opt1/Opt2,42/70/69/55/51/83,E/E/U/E/E/E,max/min/min/max/max/min,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
312,52,IPPContinuous,75/71/35/7/84/8,Opt2/Opt1/Opt1/Opt2/Opt1/Opt2,42/70/69/55/51/83,E/E/U/E/E/E,max/min/min/max/max/min,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
313,53,ScatterPlot,65/16/23/45/19/13,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,28/39/51/78/83/53,U/U/U/E/U/E,min/min/max/min/min/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
314,53,ScatterPlotColored,65/16/23/45/19/13,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,28/39/51/78/83/53,U/U/U/E/U/E,min/min/max/min/min/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
315,53,HeatMapDiscrete,65/16/23/45/19/13,Opt1/Opt1/Opt2/Opt1/Opt2/Opt2,28/39/51/78/83/53,U/U/U/E/U/E,min/min/max/min/min/max,78/14/80/73/43/48,14/18/24/80/78/27,8/14/27/43/4/23,78/38/80/27/41/69,73/8/43/63/19/3,75/19/62/43/1/80,16/49/50/67/48/57
