Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Scaled_Length,Scaled_Diameter,Scaled_Height,Scaled_Whole_Weight,Scaled_Shucked_Weight,Scaled_Viscera_Weight,Scaled_Shell_Weight,Scaled_Rings,Radius
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7,440,330,110,380,197,79,90,70,1
I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8,450,340,105,438.5,210,92.5,120,80,1
I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6,465,345,105,401.5,242,34.5,109,60,1
I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7,470,355,145,448.5,156,102,123,70,1
I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7,470,355,115,415.5,167,84,139,70,1
I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845,8,475,420,160,709.5,350,150.5,184.5,80,1
I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7,485,370,115,637,380,133.5,128,70,1
F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8,505,475,160,1115.5,509,239,306.5,80,1
I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8,510,405,130,599,306.5,115.5,148.5,80,1
I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8,520,380,130,534.5,237.5,122,153.5,80,1
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,530,420,140,627,290.5,116.5,183,80,1
M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,535,420,160,746.5,348,151.5,218.5,100,1
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8,550,440,160,985,464.5,201,270,80,1
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8,555,440,145,850,416.5,168.5,230,80,1
M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8,555,440,150,838,415.5,146,230,80,1
F,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9,555,430,135,812,405.5,163,221.5,90,1
M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8,560,415,130,761.5,369.5,170,195.5,80,1
M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8,575,440,145,870,394.5,219.5,225,80,1
F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9,585,450,145,983.5,484.5,242,220,90,1
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10,590,460,145,929,380,240,255,100,1
F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9,595,470,165,1015.5,491,190.5,289,90,1
M,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,8,600,410,145,939,447.5,196,268,80,1
M,0.6,0.475,0.16,1.164,0.5045,0.2635,0.335,12,600,475,160,1164,504.5,263.5,335,120,1
M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10,610,470,175,1214,531.5,283.5,325,100,1
F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11,615,490,190,1134.5,469.5,257,348,110,1
F,0.62,0.51,0.18,1.233,0.592,0.274,0.322,10,620,510,180,1233,592,274,322,100,1
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10,625,495,180,1081.5,471.5,254,313.5,100,1
M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9,625,470,175,1179,605,258,271,90,1
F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32,11,640,500,165,1163.5,554,239,320,110,1
F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9,640,475,175,1154.5,486.5,341,288,90,1
F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10,645,520,175,1334.5,667,266.5,355,100,1
M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9,650,505,180,1469,711.5,333.5,380,90,1
M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11,655,520,180,1492,718.5,360,355,110,1
F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11,655,540,175,1558.5,728.5,402,385,110,1
F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9,660,500,175,1327.5,556,280.5,408.5,90,1
M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10,670,525,180,1661.5,800.5,364.5,430,100,1
F,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12,690,525,190,1492,642.5,390.5,420,120,1
F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11,700,575,200,1736.5,775.5,396.5,461,110,1
F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11,700,560,175,1660.5,860.5,327.5,398,110,1
M,0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,11,710,570,195,1348,898.5,443.5,453.5,110,1
M,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10,715,545,180,1740.5,871,347,449,100,1
F,0.72,0.545,0.185,1.7185,0.7925,0.401,0.468,11,720,545,185,1718.5,792.5,401,468,110,1
I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3,215,150,55,41,15,9,12.5,30,1
I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4,240,185,60,65.5,29.5,0.5,20,40,1
I,0.26,0.205,0.07,0.097,0.0415,0.019,0.0305,4,260,205,70,97,41.5,19,30.5,40,1
I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6,320,240,85,131,61.5,26.5,38,60,1
I,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6,330,230,85,169.5,79,26,50.5,60,1
I,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6,335,260,85,192,97,30,54,60,1
I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7,350,260,90,176.5,72,35.5,57.5,70,1
I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6,350,265,85,173.5,77.5,34,56,60,1
I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6,360,265,75,178.5,78.5,35,54,60,1
I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7,360,265,90,205.5,96,37,58.5,70,1
I,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7,365,275,90,234.5,108,51,62.5,70,1
I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7,380,285,90,230.5,100.5,39,77.5,70,1
I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6,400,310,115,314,154.5,59.5,87,60,1
I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6,400,315,90,330,151,68,80,60,1
I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,9,400,265,100,277.5,124.5,60.5,80,90,1
I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8,425,325,110,405,169.5,92,106.5,80,1
I,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6,430,325,105,309,119,80,98,60,1
M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7,435,335,110,438.5,207.5,71.5,131.5,70,1
I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8,435,340,120,396,177.5,81,125,80,1
I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8,445,355,95,361.5,141.5,78.5,120,80,1
I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8,450,350,110,514,253,104.5,140,80,1
I,0.455,0.435,0.11,0.4265,0.195,0.09,0.1205,8,455,435,110,426.5,195,90,120.5,80,1
I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8,460,340,90,384,179.5,68,110,80,1
I,0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9,475,355,125,486.5,215.5,110.5,142,90,1
I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8,475,360,135,435.5,196,92.5,125,80,1
I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7,475,350,115,498,237.5,99,140,70,1
I,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,9,480,355,125,494,238.5,83.5,150,90,1
F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7,495,370,120,594,280,110,137.5,70,1
I,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,9,500,365,125,528,229,103,164.5,90,1
M,0.505,0.39,0.115,0.5585,0.2575,0.119,0.1535,8,505,390,115,558.5,257.5,119,153.5,80,1
I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9,515,400,135,636,305.5,121.5,185.5,90,1
I,0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8,525,390,105,567,287.5,107.5,160,80,1
I,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9,530,405,130,661.5,294.5,139.5,190,90,1
I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,530,420,130,658,296,124.5,198,80,1
M,0.535,0.415,0.135,0.78,0.3165,0.169,0.2365,8,535,415,135,780,316.5,169,236.5,80,1
I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9,535,410,130,607.5,268,122.5,197.5,90,1
I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8,540,410,135,702.5,310,177,200,80,1
I,0.55,0.425,0.155,0.8725,0.412,0.187,0.2425,10,550,425,155,872.5,412,187,242.5,100,1
F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10,565,450,175,1236.5,530.5,245.5,308,100,1
M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10,570,470,155,1186,635.5,231.5,277,100,1
I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9,570,420,130,774.5,353.5,150.5,236.5,90,1
F,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,8,570,420,160,887.5,431.5,191.5,223,80,1
I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8,575,455,155,872.5,349,209.5,285,80,1
I,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9,575,440,125,851.5,455.5,171.5,196.5,90,1
F,0.575,0.475,0.16,0.895,0.3605,0.221,0.271,9,575,475,160,895,360.5,221,271,90,1
M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9,575,450,155,886,360.5,211,257.5,90,1
I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10,580,460,140,926.5,413.5,184.5,270,100,1
I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238,10,580,460,140,829.5,391.5,165,238,100,1
I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11,580,470,150,907,444,185.5,244.5,110,1
M,0.58,0.47,0.165,1.041,0.54,0.166,0.279,9,580,470,165,1041,540,166,279,90,1
F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9,585,465,165,935.5,403.5,227.5,259,90,1
F,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9,585,460,165,1058,486,250,294,90,1
F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10,595,465,145,795.5,342.5,179.5,242.5,100,1
F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9,600,470,170,1080.5,499.5,224.5,320.5,90,1
M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,600,470,150,928,422.5,183,275,80,1
F,0.6,0.475,0.155,1.059,0.441,0.19,0.39,11,600,475,155,1059,441,190,390,110,1
M,0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11,600,475,230,1157,522,223.5,360,110,1
F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10,600,475,170,1088,490.5,247.5,310,100,1
F,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9,600,485,145,776,354.5,158.5,239,90,1
F,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10,620,480,165,1043,483.5,221,310,100,1
M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9,625,480,160,1141.5,579.5,214.5,290,90,1
F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10,625,475,160,1333.5,605,287.5,319,100,1
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9,625,500,175,1273,564,302,374,90,1
M,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,11,625,490,165,1183.5,517,237.5,390,110,1
M,0.625,0.485,0.16,1.2135,0.631,0.2235,0.302,9,625,485,160,1213.5,631,223.5,302,90,1
I,0.63,0.465,0.15,1.0315,0.4265,0.24,0.325,11,630,465,150,1031.5,426.5,240,325,110,1
M,0.635,0.495,0.17,1.3695,0.657,0.3055,0.365,10,635,495,170,1369.5,657,305.5,365,100,1
M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12,650,515,185,1374.5,750,180.5,369,120,1
M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11,650,515,180,1463,658,313.5,411.5,110,1
F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11,650,520,195,1627.5,689,390.5,432,110,1
F,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9,650,475,165,1387.5,580,348.5,309.5,90,1
M,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11,655,525,160,1460,686,311,405,110,1
F,0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8,655,530,165,1283.5,583,125.5,400,80,1
F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12,660,500,155,1376.5,648.5,288,335,120,1
M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11,660,515,200,1646.5,749,422,401,110,1
M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10,675,515,145,1265,602.5,299,325,100,1
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11,685,530,170,1560,647,383,465,110,1
M,0.715,0.52,0.18,1.6,0.708,0.3525,0.445,12,715,520,180,1600,708,352.5,445,120,1
M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12,735,555,220,2333,1239.5,364.5,619.5,120,1
I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4,175,125,40,28,9.5,8,9,40,1
I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8,370,285,95,226,113.5,51.5,67.5,80,1
I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5,395,300,90,285.5,138.5,62.5,77,50,1
I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7,420,325,110,325,124.5,75.5,102.5,70,1
I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8,455,370,110,514,238.5,123.5,126,80,1
I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8,495,375,115,575.5,310,114.5,139.5,80,1
F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7,510,375,110,580.5,286.5,118,148,70,1
M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8,515,390,140,678,341,132.5,119,80,1
M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7,545,430,155,803.5,409,144,228,70,1
F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9,555,405,120,913,458.5,196,206.5,90,1
M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9,580,450,160,867.5,393.5,221,215,90,1
F,0.59,0.465,0.17,1.0425,0.4635,0.24,0.27,10,590,465,170,1042.5,463.5,240,270,100,1
M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10,600,460,180,1140,423,257.5,365,100,1
F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11,610,490,170,1347.5,704.5,250,304.5,110,1
M,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11,615,475,155,1073.5,437.5,258.5,310,110,1
M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9,615,475,190,1433.5,731.5,305,328.5,90,1
M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14,615,495,200,1304,579.5,311.5,371,140,1
M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9,620,460,160,950.5,491.5,200,228,90,1
M,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,11,630,515,170,1385,635.5,295.5,380,110,1
F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12,640,500,170,1120,495.5,264.5,320,120,1
F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9,640,500,170,1264.5,565,337.5,315,90,1
F,0.655,0.455,0.17,1.275,0.583,0.303,0.333,8,655,455,170,1275,583,303,333,80,1
M,0.655,0.505,0.165,1.27,0.6035,0.262,0.335,10,655,505,165,1270,603.5,262,335,100,1
M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10,660,530,175,1583,739.5,350.5,405,100,1
F,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9,665,500,175,1435.5,643,345,370,90,1
F,0.67,0.525,0.195,1.42,0.573,0.368,0.3905,10,670,525,195,1420,573,368,390.5,100,1
M,0.69,0.53,0.19,1.5955,0.678,0.331,0.48,10,690,530,190,1595.5,678,331,480,100,1
M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10,715,525,200,1890,950,436,430.5,100,1
F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13,735,565,225,2037,870,514.5,567.5,130,1
I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6,270,205,50,84,30,18.5,29,60,1
I,0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7,285,225,70,100.5,42.5,18.5,35,70,1
I,0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5,295,220,85,128.5,58.5,27,36.5,50,1
I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5,300,225,75,134.5,57,28,44,50,1
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5,300,220,65,119.5,52,15.5,35,50,1
I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,6,360,265,85,189.5,72.5,51.5,55,60,1
I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6,370,275,95,257,101.5,55,82.5,60,1
I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8,390,290,90,274.5,135,45.5,78,80,1
I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6,435,325,100,342,133.5,83.5,105,60,1
I,0.44,0.34,0.105,0.344,0.123,0.081,0.125,8,440,340,105,344,123,81,125,80,1
I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8,440,320,95,327.5,149.5,59,100,80,1
I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7,445,345,120,403.5,169,82.5,130,70,1
I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9,465,370,115,407.5,151.5,93.5,145.5,90,1
I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8,465,355,120,497.5,237.5,99,140,80,1
I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8,470,345,120,368.5,152.5,61.5,125,80,1
I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7,475,365,105,417.5,164.5,99,127,70,1
I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9,475,335,100,442.5,189.5,86,135,90,1
I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9,475,350,125,422.5,190.5,79,135.5,90,1
I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8,485,365,125,426,163,96.5,151,80,1
I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9,490,390,120,511,220.5,103,174.5,90,1
I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9,515,405,130,573,213,134,195,90,1
I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8,520,415,140,638.5,294.5,140.5,171,80,1
I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10,525,405,125,657,298.5,150.5,168,100,1
F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10,525,425,140,873.5,420.5,182,222.5,100,1
I,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,9,530,425,130,781,390.5,200.5,215,90,1
I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9,530,420,140,676.5,256,185.5,208,90,1
M,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9,530,410,125,769,346,173,215,90,1
I,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,11,530,395,125,623.5,297.5,108,195,110,1
M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7,535,405,140,731.5,336,156,190,70,1
I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10,535,450,155,807.5,365.5,148,259.5,100,1
M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9,545,410,140,737,349,150,212,90,1
F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10,545,410,125,654,294.5,131.5,205,100,1
I,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10,550,415,150,791.5,353.5,176,236,100,1
I,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,8,550,450,140,753,344.5,132.5,240,80,1
I,0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,9,550,400,135,717,331.5,149.5,221,90,1
I,0.555,0.43,0.15,0.783,0.345,0.1755,0.247,9,555,430,150,783,345,175.5,247,90,1
I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,575,450,145,872,467.5,180,217,90,1
I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8,575,440,150,983,486,215,239,80,1
F,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11,585,420,155,1034,437,222.5,320,110,1
F,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10,585,465,145,985.5,432.5,214.5,284.5,100,1
I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9,585,460,140,763.5,326,153,265,90,1
M,0.59,0.465,0.135,0.9895,0.4235,0.199,0.28,8,590,465,135,989.5,423.5,199,280,80,1
I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10,595,470,135,936.5,434,184,287,100,1
F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10,595,440,135,964,500.5,171.5,257.5,100,1
F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10,595,460,155,1045.5,456.5,240,308.5,100,1
F,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,12,595,450,165,1081,490,252.5,279,120,1
M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10,600,470,160,1012,441,201.5,305,100,1
F,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10,600,500,160,1122,509.5,256,309,100,1
M,0.605,0.49,0.165,1.1245,0.492,0.222,0.3555,11,605,490,165,1124.5,492,222,355.5,110,1
F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10,605,490,150,1134.5,430.5,252.5,350,100,1
M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10,610,450,190,1080.5,517,249.5,293.5,100,1
F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9,610,495,165,1083.5,452.5,273,317,90,1
M,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11,615,470,175,1242,567.5,287,317,110,1
M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11,620,500,180,1391.5,726,279.5,332,110,1
M,0.62,0.525,0.155,1.085,0.454,0.1965,0.35,10,620,525,155,1085,454,196.5,350,100,1
I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11,620,470,155,966,447,171,284,110,1
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10,620,480,165,1085.5,481,257.5,305,100,1
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14,625,485,135,1302.5,610,267.5,360.5,140,1
I,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,11,625,485,160,1150,525.5,257,331.5,110,1
I,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11,630,490,170,1217,551.5,212,310,110,1
F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9,630,505,195,1306,516,330.5,375,90,1
M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13,640,500,175,1273,506.5,292.5,405,130,1
M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12,645,510,190,1486.5,644.5,296,425,120,1
M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,11,650,520,170,1365.5,615.5,288.5,360,110,1
M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.399,11,650,495,170,1276,621.5,230.5,399,110,1
M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10,650,495,160,1207.5,550,269.5,320,100,1
F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10,650,520,195,1281,598.5,246,382.5,100,1
M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13,650,525,205,1427.5,690,306,435.5,130,1
M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12,650,510,175,1155,495.5,202.5,385,120,1
F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10,650,510,175,1350,575,315.5,388.5,100,1
M,0.65,0.525,0.19,1.3685,0.5975,0.296,0.4,11,650,525,190,1368.5,597.5,296,400,110,1
F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10,660,530,170,1431,622,309,398,100,1
M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10,660,510,180,1261,500,233.5,339,100,1
F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11,665,540,195,1764,850.5,361.5,470,110,1
F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11,670,510,155,1278,560.5,304.5,358,110,1
M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11,670,540,195,1217,532,273.5,331.5,110,1
F,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,9,670,540,200,1460,643.5,328,416.5,90,1
F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11,675,535,185,1557.5,703.5,402,400,110,1
M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11,675,510,170,1527,809,318,341,110,1
F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9,675,530,195,1498.5,620,375,425,90,1
M,0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10,685,550,190,1885,890,410,489.5,100,1
M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11,685,535,175,1432,637,247,460,110,1
M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11,705,550,210,1438.5,655,325.5,462,110,1
F,0.705,0.53,0.17,1.564,0.612,0.394,0.44,10,705,530,170,1564,612,394,440,100,1
M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11,710,555,175,2140,1245.5,372.5,434,110,1
F,0.725,0.56,0.185,1.792,0.873,0.367,0.435,11,725,560,185,1792,873,367,435,110,1
M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11,780,600,210,2548,1194.5,574.5,674.5,110,1
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5,235,130,75,158.5,68.5,37,46.5,50,1
I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7,350,250,100,401.5,172.5,63,125.5,70,1
I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7,360,250,115,465,210,105.5,128,70,1
I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7,380,280,95,288.5,165,43.5,67,70,1
F,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7,380,320,115,647.5,323,132.5,164,70,1
M,0.43,0.31,0.13,0.6485,0.2735,0.163,0.184,9,430,310,130,648.5,273.5,163,184,90,1
I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9,465,360,105,452,220,159,103.5,90,1
I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9,470,355,120,491.5,176.5,112.5,132.5,90,1
F,0.485,0.365,0.15,0.9145,0.4145,0.199,0.273,7,485,365,150,914.5,414.5,199,273,70,1
M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9,495,375,155,976,450,228.5,247.5,90,1
